I (?) my today’s success to you.〔私の今日の成功は君のおかげだ。〕,owe,borrow,woe,rely,nagashima
He came to (?) himself to his new office.〔彼は新しい職場に適応した。〕,adapt,adopt,advertise,address,add
Volunteers will (?) the world.〔ボランティア達は、世界を助けるだろう。〕,aid,aim,aids,ade,ape
A patient shold be (?) politely.〔病人はそっと扱うべきだ。〕,treated,dealed,cared,touched,served
I (?) Jane very much.〔ジェーンがいなくなってとても寂しい。〕,miss,lose,regret,love,want
The boy was (?) of toys.〔男の子はおもちゃに飽きてしまった。〕,tired,desired,satisfied,filled,wired
The catcher (?) with hitting.〔捕手が打撃を妨害した〕,interfered,prevented,pretended,interacted,interprited
Your grandfather is (?) about you.〔おじいちゃんが君のことを心配しているよ。〕,concerning,concerting,inserting,worrying,inverting
(?) your friend alone awhile.〔しばらくは友達をそっとしておいてやれ。〕,Leave,Put,Make,Let,Do
The population of the world is (?).〔世界の人口は増加しつつある。〕,increasing,decreasing,exceeding,converting,inducing
I (?) the president is very bawdy.〔大統領はかなり助平ではないかと推測する。〕,suspect,doubt,suspend,inspect,consider
I was (?) at the result of the exam.〔試験の結果にはがっかりした。〕,disappointed,disapeared,disgusted,appointed,apeared
You may (?) such a trifle.〔そんなつまらないことは無視しておけばよい。〕,neglect,idle,notice,regard,blind
Sharks are (?) among fishes.〔サメは魚類の中に含まれる。〕,included,excluded,inclined,enclosed,contained
Diamond (?) of carbon.〔ダイアモンドは炭素からできている。〕,consists,makes,conposes,insists,exists
She went to school (?) by her mother.〔彼女は母親同伴で登校した。〕,accompanied,companied,campained,accomodated,accessed
Wendy (?) into tears looking at him.〔彼を見てウェンディは号泣した。〕,burst,sank,went,came,became
I cannot (?) to buy such a luxuries.〔そんな贅沢品を買う余裕はない。〕,afford,affect,possess,pay,purchase
The company (?) to overcome the crisis.〔その会社は危機を何とか克服した。〕,managed,operated,succeeded,retried,charenged
The police (?) the murderer as he.〔警察は彼を犯人であると特定した。〕,identified,justified,asserted,declared,decided
Recovery of economy (?) a bold policy.〔経済の回復には大胆な政策が必要だ。〕,requires,acquires,demands,requests,needs
Many countries (?) foods for Japan.〔多くの国が日本に食糧を供給している。〕,provide,devide,offer,contribute,present
(?) violence is a serious problem.〔家庭内暴力は深刻な問題だ。〕,Domestic,Familiar,Homely,Relational,Houseful
We need (?) reforms of systems.〔諸制度の目に見える改革が必要だ。〕,visible,visual,lightened,eyeful,bright
He is (?) to do such a thing.〔彼ならそれくらいのことはやりかねない。〕,likely,similar,fond,apt,lovely
It is (?) he visited here.〔彼がここに立ち寄ったのは間違いない。〕,certain,right,correct,accurate,exact
My sick is not only mental but (?).〔私の病気は肉体的のみならず精神的なものだ。〕,physical,biological,chemical,pcycological,phylosofical
(?)  views were spreading around.〔都会の風景が一面に広がっていた。〕,Urban,Suburban,Rural,Citified,Townly
Jim is (?) to this town.〔ジムはこの町の出身である。〕,native,natural,national,natty,natal
Her mother was (?) about her safety.〔母は彼女の安否が気がかりな様子であった。〕,uneasy,difficult,uncomfortable,hard,irritated
He is especially (?) to high tones.〔彼は高い音には特に敏感である。〕,sensitive,sensible,sentimental,sensual,sensuous
Sera is a student (?) studying abroad.〔セーラは留学する値打ちのある生徒だ。〕,worth,valuable,suitable,becoming,proper
This driver’s license is not (?) yet.〔この運転免許証はすでに無効である。〕,valid,vivid,value,visible,vacunt
Make a more (?) plan.〔もっと具体的なプランを立てなさい。〕,concrete,cement,constructive,conprehensive,concise
The Liberal is (?) in that country.〔その国では自由党が第1党である。〕,dominant,dominican,domdom,domestic,domain
He is (?) to lose courage.〔彼は弱気になりがちである。〕,apt,reliable,timid,tend,dependent
A mile is (?) to 1.6 kilometers.〔1マイルは1.6キロメートルにあたる。〕,equivalent,same,similar,striking,comparative
A big eathquake is (?) in Japan.〔日本では大地震が起きる可能性が高い。〕,probable,possible,capable,lovely,able
Her violent temper is (?).〔彼女の激しい気性は生まれつきだ。〕,inherent,coherent,domestic,individual,identical
The politician has a (?) opinion.〔その政治家は穏健な意見をもっている。〕,moderate,modern,modest,modeful,modular
The minister was (?) to the emperor.〔その大臣は皇帝に忠実だった。〕,loyal,royal,faithless,faceful,faceless
Recently the political power is (?).〔最近、政権は安定している。〕,stable,staple,stated,fixed,confirmed
The pattern is (?) to his work.〔その模様は彼の作品に固有のものだ。〕,peculiar,typical,tropical,native,natural
The machine will be (?) in the trouble.〔その機械は故障すると手動になる。〕,manual,animal,automatic,automobile,maniac
The right is the (?).〔正解は後者である。〕,latter,later,former,back,latist
I am (?) to do such a thing.〔そんなことをするのは気が進まない。〕,reluctant,reluxed,reliant,willing,glad
Precision machines are very (?).〔精密機械はとても壊れやすい。〕,fragile,brazil,brassier,fragrant,firtile
Have you ever been (?)?〔あなたは外国に行ったことがありますか?〕,abroad,outside,foreign,oversea,away
She could (?) play by sick.〔彼女は病気なのでほとんど遊べなかった。〕,hardly,easily,softly,never,hard
The train (?) started before he got on.〔彼が乗るやいなや列車は発車した。〕,scarcely,soon,quickly,seldom,suddenly
He (?) come to school on rainy days.〔彼は雨の日はめったに学校に来ない。〕,seldom,often,usually,sometimes,never
I don’t know (?) to make puddings.〔私はプディングの作り方を知らない。〕,how,why,while,when,where
I (?) like salmons among fishes.〔私は魚の中でも特に鮭が好きだ。〕,especially,specially,spanishly,strangely,apecifically
Nobody knows (?) she comes to Japan.〔いつ彼女が来日するか誰も知らない。〕,when,where,why,what,how
He finished the task very (?).〔彼はいともたやすくその仕事をやり遂げた。〕,easily,cheaply,weakly,hardly,lightly
He is (?) fat to go up the stairs.〔彼はとても太っているので、階段を上がれない。〕,too,so,very,not,much
Put (?) the switch of your computer.〔コンピューターのスイッチを切りなさい。〕,out,on,off,aside,away
I am (?) tired that I can’t run more.〔私は大変疲れているのでもう走れない。〕,so,very,much,as,too
She returned (?) after ten days.〔彼女は十日ぶりに生還した〕,alive,lively,living,surviving,alien
The station is two miles (?) from here.〔駅はここから2マイル離れている。〕,away,far,long,left,leaving
Please give me a rest (?).〔どうかしばらく休ませてくれ。〕,awhile,sometimes,timely,shortly,along
He has been working (?) in this town.〔彼はこの町でまだ働き続けている〕,still,already,lately,now,out
She speakes Japanese very (?).〔彼女は流ちょうに日本語を話す。〕,fluently,flowing,fluetly,floatly,floodly
The tree glow as time goes (?).〔その木は時間がたつとともに成長した。〕,by,thorough,away,off,out
The (?) you run the earlier you arrive.〔速く走れば走るほど早く着く〕,faster,fastest,fast,quickly,quick
The book cost me no (?) than 10 dollars.〔その本は10ドルは下らなかった〕,less,least,more,most,little
As (?) as he find his son he shouted.〔息子を見つけるやいなや、彼は叫んだ。〕,soon,quickly,early,fast,so
The bills are (?) counterfeit ones.〔その札はほとんど偽札だ。〕,almost,nearly,mostly,usually,all
Look (?) the word in your dictionary.〔辞書でその言葉を調べてみなさい。〕,up,on,down,over,into
Please read (?) this sentense.〔この文を声を出して読んでください。〕,aloud,loudly,orally,soundly,noisily
I was (?) in time of the train.〔ちょうど列車の時刻に間に合った。〕,just,correctly,ride,surely,certainly
How (?) a dessert after dinner?〔食後のデザートはいかが?〕,about,around,along,nearly,almost
He is taller than (?).〔彼は私より背が高い。〕,I,my,me,myself,mine
She insisted that the item was (?).〔彼女はその品物が自分のものだと主張した。〕,hers,her,herself,her’s,she’s
It was a fun of (?) to play with you.〔君と遊べてとても楽しかった。〕,me,mine,I,my,myself
(?) say it’s silly to camp in a river.〔川でキャンプするのは愚かだという。〕,They,It,I,We,You
The door opened of (?).〔ドアが自然に開いた。〕,itself,nature,naturally,its,automatic
(?) takes me two hours to find the key.〔鍵を見つけるのに2時間かかった。〕,It,I,They,You,We
He is a writer (?) daughter is a singer.〔彼は作家だが、娘は歌手だ。〕,whose,whom,who’s,and,but
One is big and the (?) tiny.〔一人は大きくもう一人は小さい。〕,other,another,one,two,rest
I was born in June  it was hot (?).〔私は7月生まれだが、そのときは暑かった。〕,then,when,yet,weather,temparature
There is no rule (?) has some exeptions.〔例外のない規則はない。〕,but,and,that,which,or
(?) do you prefer  apples or pears?〔リンゴとナシ、どちらが好き?〕,Which,What,Either,How,Witch
God helps (?) who help themselves.〔神は自ら助くる者を助く。〕,those,these,them,people,ones
(?) long is it since she came before?〔彼女がこの前来てからどのくらいになる?〕,How,When,What,While,So
Tell me for (?) reason you failed.〔どうして失敗したか話してごらん。〕,What,Why,How,the,a
(?) will be a new house here next year.〔来年ここには新しい家があるだろう。〕,There,Here,It,I,Then
(?) has complaint about it.〔めいめいが不満を持っている。〕,Each,All,People,Ones,Whole
Oh (?) comes the sun.〔ああ、太陽が昇ってきた。〕,here,there,it,this,he
From (?) is the letter?〔それは誰からの手紙ですか?〕,whom,who,which,what,whose
The team should cooperate one (?).〔チームはお互いに協力すべきである。〕,another,other,thing,group,each
He is not (?) a man as to do wrong.〔彼は悪いことをするような人ではない。〕,such,so,like,only,just
Sit down all of (?).〔皆さん、お座り下さい。〕,you,us,people,ones,members
In U.S.A  (?) say that time is money.〔アメリカでは時は金なりと言います。〕,they,we,you,ones,it
Everybody help (?) to the dishes.〔皆さん、料理をお召し上がりください。〕,yourselves,yourself,ourselves,themselves,oneself
These are mine and those are (?).〔これらが僕ので、あれらが君のだ。〕,yours,your,your’s,you’s,yourselves
The dog was scratching (?) body.〔その犬は自分の体をかいていた。〕,its,it’s,his,her,one’s
My record is inferior (?) his one.〔私の記録は彼のよりも劣っている。〕,to,than,beneath,below,under
This bar is made (?) steel.〔この棒はスチールでできている。〕,of,from,with,by,for
She was absent (?) school yesterday.〔彼女は昨日学校を休んだ。〕,from,of,by,to,for
I am anxious (?) the result of the exam.〔私は試験結果が心配だ。〕,about,with,of,to,in
He is engaged (?) the express buisiness.〔彼は運送業に従事している。〕,in,on,at,to,for
She is (?) no means happy.〔彼女は決して幸せでない。〕,by,with,for,in,at
I am getting along (?) my collegue.〔私は同僚とはうまくやっている。〕,with,on,to,of,in
They got (?) many difficulties.〔彼らは数多くの困難に打ち勝った。〕,over,beyond,through,onto,along
Would you put (?) the light?〔灯りを消してくれますか?〕,out,off,from,away,without
His family is depending (?) him.〔彼の家族は彼を頼りにしている。〕,upon,of,in,at,for
I cannot live (?) you.〔私はあなたなしでは生きられない。〕,without,besides,within,beneath,with
She felt (?) ease hearing the news.〔彼女はその知らせを聞いて安心した。〕,at,with,by,on,to
He lives (?) a big bridge.〔彼は大きな橋の下に住んでいる。〕,under,below,beneath,until,upon
They broke the door (?) purpose.〔彼らはわざとドアを壊した。〕,on,in,at,with,from
Don’t put off everything (?) tomorrow.〔何事も明日延ばしにするな。〕,till,for,to,into,on
I appried (?) aid to the government.〔私は政府に援助を申し出た。〕,for,with,of,on,to
She is flying (?) the town.〔彼女は町の上を飛んでいる。〕,above,over,beyond,upward,along
Can you find the difference (?) A and B?〔君はAとBの違いがわかるかい?〕,between,with,from,on,in
No one knows it (?) me.〔それは私以外には誰も知らない。〕,besides,without,within,as,beyond
I must finish the task (?) two days.〔2日以内に仕事を仕上げないといけない。〕,within,below,for,under,beneath
She is the prettiest (?) five girls.〔彼女は5人の少女の中で一番かわいい。〕,among,in,than,of,about
He looked (?) the windows.〔彼は窓の中をのぞき込んだ。〕,into,onto,in,at,within
I have been waiting for you (?) yesterday.〔昨日から君を待っている。〕,since,from,until,through,for
I was walking (?) the river.〔私は川に沿って歩いた。〕,along,besides,near,nearby,by
She saw (?) the trick.〔彼女はそのたくらみを見抜いた。〕,through,for,on,beyond,over
It is the problem (?) she will come.〔彼女が来るかどうかが問題だ。〕,whether,that,though,unless,which
(?) you was slow we lost.〔君が遅いから負けたのだ。〕,Since,For,Cause,As,Why
I’ll fly to you  (?) I were a bird.〔もし僕が鳥だったら君の所へ飛んでいくのに。〕,if,for,though,whether,unless
You’ll miss the bus (?) you hurry.〔急がないとバスに乗り遅れるよ。〕,unless,if,whether,although,neverthless
Hard (?) he worked he succeeded.〔とても熱心に働いたので彼は成功した。〕,as,so,if,unless,since
She ran fast (?) she was tired.〔疲れていたが、彼女は速く走った。〕,though,if,neverthless,unless,because
I was sleepy  (?) I was drunk.〔私は眠かった。というのは酔っぱらっていたからだ。〕,for,because,since,as,and
He is not only a doctor (?) a novelist.〔彼は医者であるだけでなく小説家だ。〕,but,and,also,both,as
Bread (?) butter is a kind of compounds.〔バター付きパンは一種の複合語だ。〕,and,or,with,in,on
(?) Father or Mother are coming to take me.〔父か母が私を迎えに来ます。〕,Either,Both,Whether,Which,Only
I like (?) ski nor tennis.〔私はスキーもテニスも好きではない。〕,neither,either,never,not,both
(?) the sun is bright I feel ill.〔太陽がまぶしいので、私は気分が悪い。〕,Because,For,As,Why,So
He told me (?) he had been angry.〔彼は私に自分は怒っていたと話した。〕,that,this,it,which,why
I want to climb (?) Mt.Fuji.〔私は富士山に登りたい。〕,不要,the,a,an,to
This is (?) Pacific Ocean.〔これが太平洋だ。〕,the,a,an,不要,one
It takes you (?) hour to the station.〔駅までは1時間かかる。〕,an,a,the,不要,single
(?) English is a excellent language.〔英語は洗練された言語だ。〕,不要,The,An,A,L’
He (?) be sick I suppose.〔彼は病気のはずがない、と思うが。〕,cannnot,could,should,won’t,wasn’t
(?) I go into your room?〔お部屋に入ってもよろしいか?〕,May,Must,Should,Shall,Will
You (?) go to bed at once.〔すぐに寝ないといけない。〕,must,may,might,can,could
It is strange that he (?) failed.〔彼がしくじるなんて意外だ。〕,should,could,might,would,does
She thought that she (?) be happy.〔彼女は幸せになれると思った。〕,would,will,shall,can,might
I (?) to take a walk every day.〔私は毎日散歩するのが日課だった。〕,used,ought,need,was,would
You (?) not join the meeting today.〔君は今日はミーティングに出なくてよい。〕,need,could,may,must,should
What (?) people shouting loudly?〔人々は何をやかましく言っているのか?〕,are,does,is,do,did
Even (?) sometimes nods.〔弘法も筆の誤り。〕,Homer,Napoleon,Socrates,Shakespear,Caesar
A friend in (?) is a friend indeed.〔まさかの友が真の友。〕,need,necessity,nude,neer,node
A rolling stone (?) no moss.〔転石苔を生じず。〕,gathers,grows,plants,seeds,collects
Bad news (?) fast.〔悪事千里を走る。〕,travel,tour,trip,run,drive
Every (?) has his day.〔誰にでも全盛期がある。〕,dog,cat,pig,person,horse
Slow and (?) wins the race.〔急がば回れ〕,steady,snoopy,study,far,sleepy
Strike the iron (?) it is hot.〔鉄は熱いうちに打て。〕,while,awhile,why,where,how
A little (?) is a dangerous thing.〔生兵法は怪我の元〕,learning,running,fighting,studying,battling
All work and no play makes (?) a dull boy.〔よく学びよく遊べ。〕,Jack,Tom,John,Jim,Tim
Spare the (?) and spoil the child.〔可愛い子には旅をさせよ。〕,rod,money,holiday,leisure,rest
Fools rush in where (?) fear to tread.〔君子危うきに近寄らず。〕,angels,gods,gentlemen,saints,ministry
A drawing man (?) catch a straw.〔溺れる者はわらをもつかむ。〕,will,must,should,may,can
Don’t count your (?) before they are hatched.〔取らぬ狸の皮算用〕,chickens,birds,foxes,sheeps,rabbits
(?) helpes those who help themselves.〔天は自ら助くる者を助く。〕,God,Heaven,Universe,Sky,Christ
It is no use crying over (?) milk.〔覆水盆に返らず。〕,spilt,spilit,split,splended,spoilled
Too many (?) spoil the broth.〔船頭多くして船山に登る。〕,cooks,captains,sailors,boatmen,chiefs
Do in Rome (?) the Romans do.〔卿に入りては卿に従え。〕,as,like,how,when,why
Birds of a (?) flock together.〔類は友を呼ぶ。〕,feather,heather,feature,colour,group
The proofs of the (?) is in the eating.〔論より証拠〕,pudding,jelly,bavaroi,mousse,cookie
There is no (?) for tastes.〔蓼食う虫も好きずき〕,accounting,explanation,reason,cause,rule
Even a worm will (?).〔一寸の虫にも五分の魂。〕,turn,revenge,bite,resist,oppose
Truth is stranger than (?).〔事実は小説よりも奇なり。〕,fiction,novel,document,story,tale
Time and (?) wait for no man.〔歳月人を待たず。〕,tide,hide,wide,side,ride
Lookers－on see most of the (?).〔岡目八目。〕,game,match,battle,fight,play
There is no (?) road to learning.〔学問に王道なし。〕,royal,loyal,king,emperor,crown
